,Country,City,AccentCity,Region,Population,Latitude,Longitude
150880,au,abbotsford,Abbotsford,02,,-33.85,151.133333
150881,au,abbotsford,Abbotsford,07,,-37.8,145.0
150882,au,abbotsham,Abbotsham,06,,-41.216667,146.183333
150883,au,abbotts,Abbotts,08,,-26.316667,118.383333
150884,au,abercorn,Abercorn,04,,-25.15,151.033333
150885,au,abercrombie,Abercrombie,02,,-33.95,149.316667
150886,au,aberdare,Aberdare,02,,-32.833333,151.366667
150887,au,aberdeen,Aberdeen,02,,-32.165878,150.89003
150888,au,aberfeldy,Aberfeldy,07,,-37.683333000000005,146.366667
150889,au,aberfoyle,Aberfoyle,02,,-30.266667,152.01666699999998
150890,au,aberglasslyn,Aberglasslyn,02,,-32.7,151.533333
150891,au,abermain,Abermain,02,,-32.816666999999995,151.433333
150892,au,abermain,Abermain,04,,-27.566667,152.783333
150893,au,abernethy,Abernethy,02,,-32.9,151.4
150894,au,abington,Abington,02,,-30.283333,151.183333
150895,au,abington creek,Abington Creek,02,,-30.283333,151.183333
150896,au,acacia creek,Acacia Creek,02,,-28.383333,152.316667
150897,au,acacia ridge,Acacia Ridge,04,,-27.583333000000003,153.033333
150898,au,acheron,Acheron,07,,-37.25,145.7
150899,au,ackland,Ackland,04,,-27.3,151.683333
150900,au,adaminaby,Adaminaby,02,,-35.996941,148.769699
150901,au,adamsfield,Adamsfield,06,,-42.733333,146.316667
150902,au,adamstown,Adamstown,02,,-32.933333000000005,151.73333300000002
150903,au,adavale,Adavale,04,,-25.916667,144.6
150904,au,addington,Addington,07,,-37.383333,143.683333
150905,au,adelaide,Adelaide,05,1074168.0,-34.928661,138.598633
150906,au,adelaide lead,Adelaide Lead,07,,-37.066667,143.683333
150907,au,adelaide river,Adelaide River,03,,-13.23943,131.10733000000002
150908,au,adelong,Adelong,02,,-35.316666999999995,148.05
150909,au,adjungbilly,Adjungbilly,02,,-35.1,148.383333
150910,au,advancetown,Advancetown,04,,-28.066667,153.26666699999998
150911,au,adventure bay,Adventure Bay,06,,-43.366667,147.333333
150912,au,afterlee,Afterlee,02,,-28.583333000000003,152.816667
150913,au,agery,Agery,05,,-34.166667,137.73333300000002
150914,au,agnes banks,Agnes Banks,02,,-33.60944,150.716736
150915,au,agnes water,Agnes Water,04,,-24.211281,151.906982
150916,au,agnew,Agnew,08,,-28.083333000000003,120.5
150917,au,ailsa,Ailsa,07,,-36.333333,142.35
150918,au,aireys inlet,Aireys Inlet,07,,-38.464001,144.103943
150919,au,airlie beach,Airlie Beach,04,,-20.2672,148.716171
150920,au,airly,Airly,07,,-38.033333,147.116667
150921,au,aitkenvale,Aitkenvale,04,,-19.283333,146.8
150922,au,ajana,Ajana,08,,-27.95,114.633333
150923,au,alagala,Alagala,02,,-32.4,147.7
150924,au,alambee,Alambee,07,,-38.266667,146.033333
150925,au,alanvale,Alanvale,06,,-41.3875,147.116667
150926,au,alawoona,Alawoona,05,,-34.733333,140.51666699999998
150927,au,albacutya,Albacutya,07,,-35.816666999999995,142.0
150928,au,albany,Albany,08,23913.0,-35.003101,117.865952
150929,au,albany creek,Albany Creek,04,,-27.35,152.98333300000002
150930,au,albert,Albert,02,,-32.35,147.5
150931,au,alberton,Alberton,04,,-27.7,153.25
150932,au,alberton,Alberton,06,,-41.266667,147.783333
150933,au,alberton,Alberton,07,,-38.616667,146.666667
150934,au,alberton west,Alberton West,07,,-38.6,146.6
150935,au,albert park,Albert Park,07,,-37.833333,145.0
150936,au,albion,Albion,07,,-37.766667,144.833333
150937,au,albion park,Albion Park,02,,-34.566666999999995,150.783333
150938,au,albury,Albury,02,104261.0,-36.074940000000005,146.923935
150939,au,albury municipality,Albury Municipality,02,,-36.083333,146.916667
150940,au,alcomie,Alcomie,06,,-40.916667,145.183333
150941,au,aldavilla,Aldavilla,02,,-31.083333000000003,152.76666699999998
150942,au,aldershot,Aldershot,04,,-25.466667,152.666667
150943,au,aldersyde,Aldersyde,08,,-32.383333,117.266667
150944,au,aldgate,Aldgate,05,,-35.016667,138.73333300000002
150945,au,aldinga,Aldinga,05,,-35.283333,138.48333300000002
150946,au,aldinga beach,Aldinga Beach,05,,-35.278259000000006,138.458023
150947,au,alectown,Alectown,02,,-32.933333000000005,148.25
150948,au,alexandra,Alexandra,04,,-21.166667,149.1
150949,au,alexandra,Alexandra,07,,-37.191319,145.711197
150950,au,alexandra-mooloolaba,Alexandra-Mooloolaba,04,,-26.681641,153.119247
150951,au,alexandria,Alexandria,02,,-33.916667,151.2
150952,au,alford,Alford,05,,-33.816666999999995,137.816667
150953,au,alfredton,Alfredton,07,,-37.566667,143.816667
150954,au,alfred town,Alfred Town,02,,-35.166667,147.51666699999998
150955,au,algalah,Algalah,02,,-32.4,147.7
150956,au,alice,Alice,02,,-29.05,152.583333
150957,au,alice,Alice,04,,-23.566667,145.8
150958,au,alice river,Alice River,04,,-19.33437,146.613907
150959,au,alice springs,Alice Springs,03,26188.0,-23.697479,133.883621
150960,au,allambee,Allambee,07,,-38.266667,146.033333
150961,au,allambee south,Allambee South,07,,-38.35,146.1
